PC,evr,evr_cum
0,0.24249160741028467,0.24249160741028467
1,0.15598527205516743,0.39847687946545207
2,0.09379932402492887,0.4922762034903809
3,0.0896305659461628,0.5819067694365437
4,0.08029678153224683,0.6622035509687906
5,0.07257234933748655,0.7347759003062772
6,0.06299038964993611,0.7977662899562132
7,0.05447120831232489,0.8522374982685381
8,0.04453482214575449,0.8967723204142926
9,0.043534742641865826,0.9403070630561584
10,0.032489063651679716,0.9727961267078381
11,0.027203873292161816,0.9999999999999999
